26641, 342, -1050
26652, 344, -1060
26663, 345, -1070
26674, 346, -1080
26685, 347, -1090
26696, 348, -1100
26707, 349, -1111
26718, 350, -1120
26729, 351, -1130
26740, 352, -1141
26752, 353, -1152
26763, 355, -1162
26774, 356, -1172
26785, 357, -1182
26796, 358, -1192
26807, 359, -1201
26818, 360, -1212
26829, 361, -1221
26840, 362, -1230
26851, 363, -1240
26862, 365, -1250
26873, 366, -1261
26884, 367, -1270
26895, 368, -1281
26906, 369, -1292
26917, 370, -1302
26928, 371, -1312
26939, 372, -1322
26950, 373, -1334
26961, 374, -1344
26972, 376, -1354
26983, 377, -1366
26994, 378, -1377
27005, 379, -1388
27016, 380, -1398
27027, 381, -1410
27038, 382, -1422
27049, 383, -1434
27060, 384, -1444
27071, 385, -1456
27082, 387, -1468
27094, 388, -1480
27105, 389, -1491
27116, 390, -1503
27127, 391, -1515
27138, 392, -1526
27149, 393, -1538
27160, 394, -1550
27171, 395, -1564
27182, 397, -1622
27193, 398, -1634
27204, 399, -1647
